epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,34598.8,0.60206,0.58729,0.28565,0.75645,0.69165,0.76047,0.41835,0.30388,0.401,0.19334,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,35665.9,0.59624,0.59737,0.28365,0.77274,0.69341,0.77072,0.43693,0.29343,0.42198,0.18871,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,36732.7,0.60095,0.59424,0.2827,0.75681,0.69799,0.76194,0.4312,0.29651,0.43798,0.19055,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,37804.3,0.59175,0.59206,0.28382,0.75954,0.69509,0.76074,0.42877,0.29808,0.42526,0.19346,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,38879.6,0.59869,0.59154,0.28597,0.74669,0.69174,0.7529,0.42476,0.30379,0.42154,0.19502,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,39956.6,0.59498,0.58438,0.28524,0.7565,0.71221,0.76698,0.43552,0.29717,0.39676,0.19123,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,41030.8,0.59207,0.58078,0.27954,0.75784,0.70855,0.7611,0.43305,0.29541,0.39804,0.19292,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,42098.8,0.61109,0.58664,0.28648,0.75923,0.70774,0.76661,0.43744,0.29169,0.39584,0.18748,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,43180.5,0.59196,0.58883,0.28552,0.75716,0.71496,0.76388,0.43503,0.29195,0.40439,0.18721,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,44260.8,0.60293,0.58045,0.28025,0.76463,0.70435,0.76718,0.43441,0.29457,0.40407,0.19196,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,45345.2,0.58097,0.56952,0.27773,0.76387,0.71262,0.77183,0.4381,0.29267,0.39254,0.19115,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,46425.7,0.56038,0.5676,0.27118,0.76039,0.72314,0.77554,0.43902,0.29709,0.38151,0.19285,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,47507.9,0.57786,0.56596,0.2786,0.75541,0.72589,0.77443,0.43547,0.29941,0.37875,0.19563,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
