epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,319.847,1.62751,2.06351,1.51866,0.60149,0.51921,0.54872,0.26764,1.44606,1.99008,1.27934,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,599.333,1.6248,1.64302,1.48695,0.47034,0.4465,0.41909,0.17511,1.6743,3.67228,1.46048,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,858.057,1.73403,1.80816,1.57674,0.50008,0.47343,0.44828,0.19823,1.61575,4.42675,1.46719,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,1113.97,1.76922,1.85789,1.60954,0.58442,0.48847,0.50422,0.23131,1.538,4.08856,1.41853,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1367.36,1.69871,1.72711,1.57307,0.54973,0.49679,0.51105,0.24572,1.49805,4.42258,1.37281,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1619.62,1.64766,1.61005,1.53243,0.61571,0.53636,0.57093,0.28165,1.45605,2.23707,1.32866,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1868.52,1.60597,1.54907,1.49826,0.6258,0.56154,0.60395,0.30905,1.41849,3.08474,1.31715,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2121.84,1.58974,1.50063,1.48391,0.6462,0.55251,0.60291,0.31056,1.39845,2.24363,1.28906,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2374,1.55465,1.4297,1.45433,0.66422,0.60254,0.64625,0.33554,1.381,1.84439,1.27501,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2626.34,1.53477,1.39488,1.44512,0.67586,0.60285,0.65626,0.34232,1.36651,1.53519,1.26947,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2880.03,1.50369,1.35732,1.42128,0.67174,0.61592,0.66303,0.34965,1.35071,2.46099,1.24632,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3134.07,1.49712,1.32636,1.41539,0.67757,0.62361,0.67906,0.36803,1.32258,1.67749,1.22765,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3385.44,1.4792,1.298,1.40646,0.70199,0.61736,0.68916,0.37092,1.32011,2.08129,1.22259,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3636.71,1.46495,1.27385,1.3901,0.68546,0.63109,0.69052,0.37894,1.28965,1.58671,1.20535,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3888.86,1.44983,1.25442,1.38335,0.69812,0.64412,0.70392,0.38432,1.28664,1.70448,1.2091,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4139.76,1.43716,1.2237,1.37694,0.72316,0.65761,0.72069,0.39716,1.28973,1.54355,1.21164,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
