epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,277.82,1.62157,2.86111,1.51534,0.50273,0.43052,0.42822,0.1965,1.49465,7.59086,1.35084,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,487.36,1.67353,2.04055,1.51984,0.48975,0.43108,0.41356,0.18422,1.58468,3.88051,1.40395,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,678.493,1.76603,1.95977,1.60438,0.43815,0.39274,0.34591,0.14315,1.73956,7.49901,1.56064,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,858.251,1.80082,1.93591,1.63209,0.49927,0.47163,0.44326,0.20377,1.55807,4.2626,1.42936,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1043.21,1.72931,1.80589,1.58878,0.52757,0.44875,0.46016,0.21947,1.53497,5.75537,1.40888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1221.49,1.67144,1.68383,1.54529,0.56216,0.5146,0.52608,0.25547,1.46485,3.10351,1.35177,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1407.27,1.64234,1.63185,1.51542,0.59975,0.53855,0.57715,0.29034,1.44277,2.56546,1.30811,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1584.08,1.6248,1.5831,1.50412,0.61278,0.56449,0.60061,0.3119,1.38296,2.70934,1.27721,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1764.45,1.58819,1.51573,1.47305,0.62493,0.56513,0.59716,0.30596,1.4016,2.95277,1.29724,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1945.65,1.57115,1.49042,1.46385,0.63977,0.56148,0.61028,0.31941,1.38823,2.25997,1.27954,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2129.82,1.54442,1.45002,1.44682,0.63938,0.58404,0.63018,0.32956,1.36446,2.59393,1.25585,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2309.88,1.53747,1.42202,1.4421,0.65427,0.61322,0.65661,0.34668,1.34582,2.17978,1.24674,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2492.14,1.52305,1.39943,1.43264,0.67575,0.61001,0.66108,0.35274,1.33045,1.9872,1.23479,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2670.68,1.51046,1.37548,1.41898,0.66669,0.62672,0.66929,0.35939,1.32199,2.08855,1.22579,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2856.68,1.49682,1.35002,1.40711,0.67099,0.61043,0.65924,0.3529,1.32893,1.92384,1.23743,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3036.32,1.48233,1.33781,1.3996,0.69755,0.62622,0.69433,0.37368,1.303,1.88,1.21058,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3216.68,1.46877,1.30987,1.38895,0.70752,0.63938,0.70213,0.38383,1.29545,1.6268,1.20735,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3401.94,1.46587,1.29865,1.38122,0.6991,0.63395,0.6986,0.38412,1.29263,1.80199,1.20675,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3584.8,1.45098,1.26913,1.37211,0.72222,0.64268,0.71354,0.39448,1.28417,1.76318,1.18822,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3770.26,1.44347,1.26237,1.3694,0.71777,0.65536,0.72489,0.4009,1.28319,1.71855,1.18906,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
